StudentID,Year,Branch,Gender,CGPA,Backlogs,Internships,Projects,Certifications,AptitudeScore,CommunicationSkill,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus,Salary_INR,CompanyName,JobCity
1,2023,ECE,Male,8.29,0,1,4,1,68,Excellent,Yes,97,93,Placed,810781.0,HCL,Bangalore
2,2021,BioTech,Male,6.31,0,0,2,2,59,Average,Yes,79,56,Not Placed,,,
3,2021,EE,Male,6.92,0,0,3,2,53,Poor,Yes,90,55,Placed,628230.0,Capgemini,Chennai
4,2024,ME,Male,6.71,0,1,1,2,71,Poor,Yes,70,61,Not Placed,,,
5,2023,CSE,Male,7.43,1,1,2,1,99,Good,No,72,74,Placed,867680.0,Tech Mahindra,Pune
6,2022,CSE,Male,7.06,0,1,2,1,89,Good,Yes,67,97,Placed,867187.0,HCL,Hyderabad
7,2024,CSE,Male,8.66,0,1,3,0,66,Average,No,91,60,Placed,837017.0,Amazon,Bangalore
8,2023,IT,Male,7.62,0,1,1,3,95,Average,Yes,81,90,Placed,803741.0,TCS,Hyderabad
9,2023,ME,Female,7.48,0,0,4,2,64,Average,Yes,88,75,Placed,639466.0,IBM,Chennai
10,2022,CE,Female,6.74,0,1,3,1,91,Good,Yes,65,89,Placed,767804.0,Paytm,Bangalore
11,2024,CSE,Female,6.53,0,0,1,1,43,Poor,Yes,55,90,Not Placed,,,
12,2023,BioTech,Female,7.42,0,0,3,3,60,Excellent,No,67,62,Placed,706685.0,Ola,Chennai
13,2023,IT,Female,6.46,0,1,2,2,57,Average,No,84,58,Not Placed,,,
14,2023,CSE,Male,7.75,0,2,2,1,78,Excellent,Yes,59,97,Placed,834295.0,Ola,Noida
15,2022,CSE,Male,6.84,0,3,1,1,54,Average,No,72,70,Not Placed,,,
16,2024,CSE,Male,9.19,2,1,2,1,92,Good,No,68,57,Placed,786857.0,Tech Mahindra,Gurugram
17,2024,ECE,Female,8.14,0,0,2,3,77,Average,Yes,67,61,Placed,693646.0,Capgemini,Bangalore
18,2024,ME,Female,7.28,0,0,2,2,87,Poor,No,86,56,Placed,672795.0,Accenture,Noida
19,2024,ECE,Male,8.38,0,2,2,2,91,Excellent,Yes,61,55,Not Placed,,,
20,2021,CSE,Female,7.21,0,1,2,3,63,Excellent,Yes,62,55,Placed,918578.0,Mindtree,Mumbai
21,2021,ME,Male,7.63,0,1,2,4,47,Good,Yes,61,92,Placed,654496.0,Cognizant,Chennai
